mat_number;item_description_1;item_description_2;mat017_group
MAT01721266;Leitung, Konfektioniert;RKT8-282/15M;RC-L1
MAT01721267;xUSB3.0 - 10m - PVC;Beideseitig Stecker TypA  10m  PVC;RC-L2
MAT01721268;xUSB3.0 - 5m - PVC;einseitiger Stecker TypA  2.Seite offen;RC-L2
MAT01721269;xUSB3.0 - 10m - PUR;Beideseitig Stecker TypA  10m  PUR;RC-L2
MAT0172127;Gehäuse, Sockel;mit Bügel u. Deckel, 1xM32;RC-K3
MAT01721270;xUSB3.0 - 5m - PUR;einseitiger Stecker TypA  2.Seite offen;RC-L2
MAT01721271;Steckverbinder;Kabeldose 9pol. Löt mit PG21 adapter, 28;RC-K2
MAT01721272;Schlauch, Pneumatik;Trix Blaustrahl DN19x6, RL=40m;RC-S5
MAT01721273;Halter inkl. Kantenschutz;Halter Y-Achse, Mitnehmer, Seite A;RC-B2
MAT01721274;Halter;Halter Z-Achse, Mitnehmer, Seite A;RC-B2
MAT01721275;Halter;Halter Z-Achse, Mitnehmer, Seite B;RC-B2
MAT01721276;Halter inkl. Kantenschutz;Halter Y-Achse, Mitnehmer, Seite B;RC-B2
MAT01721277;Beistellung;MIL-C-26482 Serie 1;RC-K10
MAT01721278;Sensor-/Aktor;Box SACB-4/3-L-M12-M8;RC-K2
MAT01721279;Schraube, Linse Torx;ISO 7380, verzinkt  TX15 M5x10;RC-A5
MAT0172128;Gehäuse, Sockel;mit Bügel u. Deckel, 1xM32;RC-K3
MAT01721280;Schraube, Linse Torx;ISO 7380, verzinkt  TX15 M4x8;RC-A5
MAT01721281;Schraube, Linse Torx;ISO 7380, verzinkt  TX15 M4x16;RC-A5
MAT01721282;Schraube, Senkkopf, verzinkt;DIN 965  M2,5x8  verzinkt;RC-A5
MAT01721283;Schweißbaugruppe;Rinne L = 4642 mm;RC-B2
MAT01721284;Kabelbeschriftungsatz XZ30 / XZ30.1;nach MAT90447904, Alu-Schild,gelasert/gr;RC-K8
MAT01721285;Kabelbeschriftungsatz XZ50 / XZ50.1;nach MAT90447905, Alu-Schild,gelasert/gr;RC-K8
MAT01721286;siehe MAT01721284;nach MAT90447906, Alu-Schild,g;RC-K8
MAT01721287;siehe MAT01721285;nach MAT90447907, Alu-Schild,g;RC-K8
MAT01721288;Schlauchleitung;301SN-8x3410 1CA48-15-8/1DO48-15-8;RC-S1
MAT01721289;Schlauchleitung;301SN-8x3510 1CA48-15-8/1DO48-15-8;RC-S1
MAT0172129;Gehäuse, Sockel;mit Bügel u. Deckel, 1xM25;RC-K3
MAT01721290;Schildersatz;DMF180/260, MAT90447932;RC-K8
MAT01721291;Schildersatz;DMF180/260, MAT90447933;RC-K8
MAT01721292;Schildersatz;DMF180/260, MAT90447934.A;RC-K8
MAT01721293;Stecker, Buchse;Motorstecker 7pol Yaskawa;RC-K2
MAT01721294;Werkzeug;Elektr.-Schraubendreher vollisol.;RC-D1
MAT01721295;Werkzeug;Torx-Winkelschraubendr.Satz TX6-25;RC-D1
MAT01721296;Werkzeug;Holex 6-kt.Winkelschr.Satz/Kugelk.phosph;RC-D1
MAT01721297;Werkzeug;Holex Garnitur 1/4 Zoll, 12 tlg.;RC-D1
MAT01721298;Werkzeug;Elektr.-Schraubendreher vollisol.;RC-D1
MAT01721299;Werkzeug;Elektr.-Schraubendreher vollisol.;RC-D1
MAT0172130;Gehäuse, Sockel;mit Bügel u. Deckel, 1xM40;RC-K3
MAT01721300;Werkzeug;Pozidriv-Schraubendr. Vollisoliert;RC-D1
MAT01721301;Werkzeug;Pozidriv-Schraubendr. Vollisoliert;RC-D1
MAT01721302;Werkzeug;Kleine Montagetasche ohne Inneneinteil.;RC-D1
MAT01721303;Werkzeug;Vanad.Kombizange verschr.isol.;RC-D1
MAT01721304;Werkzeug;Wasserpumpenzange, verchr., 25 Rasten;RC-D1
MAT01721305;Werkzeug;Flachrundzange abgew., isoliert;RC-D1
MAT01721306;Werkzeug;Holex Abisolierzange poliert;RC-D1
MAT01721307;Werkzeug;Kabelmesser klappbar, 3 teilig;RC-D1
MAT01721308;Werkzeug;Holex Taschen-Messschieber/Feststellsch.;RC-D1
MAT01721309;Werkzeug;Durchgangsprüfer Dutest;RC-D1
MAT0172131;Gehäuse, Sockel;mit Bügel u. Deckel, 1xM32;RC-K3
MAT01721310;Werkzeug;Schlosserhammer mit Hickorystiel;RC-D1
MAT01721311;Werkzeug;Elektr.Schraubendreher vollisol.;RC-D1
MAT01721312;Werkzeug;Phillips Schraubendr. Vollisol.;RC-D1
MAT01721313;Werkzeug;Phillips Schraubendr. Vollisol.;RC-D1
MAT01721314;Werkzeug;Hammer mit Cellidor Einsätzen;RC-D1
MAT01721315;Werkzeug;Holex Taschenlampe 1W Cree LED 157mm;RC-D1
MAT01721316;Werkzeug;Einschlaglupe 3+5fach=8fach Techline;RC-D1
MAT01721317;Schlauch Hydraulik;1TE12 ohne Armatur, DN12, 19790mm;RC-S2
MAT01721318;Schlauch Hydraulik;1TE25 ohne Armatur, DN25, 19790mm;RC-S2
MAT01721319;Schutzkappe;Alu.Druckguss, 1 Bügel, Größe 77.27;RC-K11
MAT0172132;Gehäuse, Tülle;für 1 Bügel seitl., 1xM32;RC-K3
MAT01721320;Steckverbinder;RJ 45 Werkzeuglos IE-PS-V01M-RJ45-FH;RC-K5
MAT01721321;Verschraubung;Flachdichtend, Rändel-ÜWM DN25;RC-K7
MAT01721322;Verschraubung;Flachdichtend, Rändel-ÜWM DN32;RC-K7
MAT01721323;Verschraubung;Flachdichtend, Rändel-ÜWM DN20;RC-K7
MAT01721324;Verschraubung;Flachdichtend, Rändel-ÜWM DN40;RC-K7
MAT01721325;Schraube, Ringschraube;Ringschrauben M10 DIN580 C15E verzinkt;RC-A5
MAT01721326;Mutter, Sechskant;Sechskantmutter DIN985 6 verzinkt M10 KL;RC-A5
MAT01721327;Litze;H07V-K 2,5 dbl;RC-L3
MAT01721328;Schlauchleitung;2SN DN10x14116mm DKOL12/DKOL12 gerade;RC-S1
MAT01721329;Steckverbinder;QSC-4;RC-A2
MAT0172133;Kabelschuh, Rohr, blank;M12, 150mm²;RC-K1
MAT01721330;Steckverbinder;QSC-8;RC-A2
MAT01721331;Schlauchleitung;441-5 DN8x3500, beids.1CA48-10-5;RC-S1
MAT01721332;Schlauchleitung;441-4 DN5x1100, beids.1CA48-6-4;RC-S1
MAT01721333;Stecker komplett;M23 Leistung ÜWM Buchse 6pol.;RC-K2
MAT01721334;Stecker komplett;M23 Leistung ÜWM Stift 6pol.;RC-K2
MAT01721335;Zukaufleitung;Netzwerkkabel RJ45 CAT 5e U/UTP Grau 10;RC-L1
MAT01721336;Bezeichnungsträger;PATG 0/10, 0,6-1,2mm;RC-K8
MAT01721337;Bezeichnungsträger;PATG 1/10, 1,5-2,5mm;RC-K8
MAT01721338;Bezeichnungsast;PABA WH/10;RC-K8
MAT01721339;Formschrumpfteil;Schrumpf - Formteil Y 2-fach schwarz;RC-K8
MAT01721340;Stecker;M16 7Pol Stift 8-10mm, IP67;RC-K2
MAT01721341;Kabeldose;M16 7Pol Buchse 8-10mm, IP67;RC-K2
MAT01721342;Schlauch Gewebe;Griflex PVC mit Gew.einl., ID19, HN80;RC-S4
MAT01721343;Trommel;Typ II Sperrh.,1100X200,LW435 m. Abteilk;RC-D5
MAT01721344;Leitung;M12 Bu. gew. mit LED /M12 Sti. Ger.4Pol;RC-L2
MAT01721345;Leitung;M12 Bu. ger. mit LED /M12 Sti. Ger.4Pol;RC-L2
MAT01721346;Schlauchleitung;Compact Schlauch Nr.492-4 DN6 beids. DKO;RC-S1
MAT01721347;Steckverbinder 3-pol. Buchse;Primärstromstecker, MGK4-200-2-ECO;RC-K3
MAT01721348;MultiDNet-DMB-G4-BG Stecker MGK4;MultiDNet-DMB-G4-BG Stecker MGK4;RC-K3
MAT01721349;Schlaucharmatur 3/8 Zoll Push-Lok;VW121-8938, 3/8 Zoll, nach VW-Norm 39-V-;RC-A2
MAT0172135;Einsatz, Buchse;Schraub 6pol. 35A;RC-K5
MAT01721350;Schlaucharmatur 1/2 Zoll Push-Lok;VW121-8939, 1/2 Zoll, nach VW-Norm 39-V-;RC-A2
MAT01721351;Formschrumpfteil;Schrumpf - Formteil Y 2-fach schwarz Typ;RC-K8
MAT01721352;Schlauch Hydraulik;PUSH-Lok 837PU 3/8 Zoll blau;RC-S2
MAT01721353;Schlauch Hydraulik;PUSH-Lok 837PU 1/2 Zoll grün;RC-S2
MAT01721354;siehe MAT01716311;PUSH-Lok 837PU 1/2 Zoll rot;RC-S2
MAT01721355;Profilrohr HSN 3mm;Fa. Tucker HSN Niet;RC-S2
MAT01721356;Steckerleiste;24pol 5,08;RC-K2
MAT01721357;Zugentlastung;BLZ5.08 ZE8 OR;RC-K7
MAT01721358;Steckerleiste;18pol 5,08  BLZ5.08/18SNOR;RC-K2
MAT01721359;Steckerleiste;5pol 5,08  BLZ5.08/5SNOR;RC-K2
MAT0172136;Einsatz, Buchse;crimp 72pol. 10A;RC-K5
MAT01721360;Zugentlastung;BLZ5.08 ZE4 OR;RC-K7
MAT01721361;Einlegebrücke;EBP6-5;RC-K11
MAT01721362;Schüttware Kontakt Buchse;4qmm;RC-K6
MAT01721363;Kupplung, Gehäuse;Coninvers Gehäuse BF Q / hinterwand;RC-K3
MAT01721364;Schirmhülse;Schirmhülse 6,2mm;RC-K11
MAT01721365;Stecker;Stecker, 6 pol. Buchse, Crimp;RC-K2
MAT01721366;Stecker;Winkelgehäuse BF.Z PG13,5;RC-K2
MAT01721367;Isolierkörper;Löt.,16pol. BuchseqLinksdr. Coninvers;RC-K5
MAT01721368;Stecker;Winkelgehäuse BF.Z PG11;RC-K2
MAT01721369;RJ45-Tüllengehäuse;RJ45-Tüllengehäuse, IP67, für Stifteinsa;RC-K3
MAT0172137;Schüttware Kontakt, Buchse;Crimp 0,25mm², gold;RC-K6
MAT01721370;Einsatz, Stift;Stifteinsatz RJ45, CAT5e, 8-polig, gesch;RC-K5
MAT01721371;Schlauch, Pneumatik;Lösungsmittel-Schlauch,ID25mmxAD37mm,PN1;RC-S3
MAT01721372;Schlauch, Pneumatik;HD-Schlauch Compact, 2SC-12;RC-S3
MAT01721373;Schlauchleitung;2SN DN10x15630mm DKOL12/DKOL12;RC-S1
MAT01721374;Bezeichnungsschild;BS5, beschriftet mit WX001/E22-E04;RC-K8
MAT01721375;Bezeichnungsschild;BS5, beschriftet mit WX002/E22-E04;RC-K8
MAT01721376;Bezeichnungsschild;BS5, beschriftet mit WX003/E22-E04;RC-K8
MAT01721377;Bezeichnungsschild;BS5, beschriftet mit WX009/E22-E04;RC-K8
MAT01721378;Bezeichnungsschild;BS5, beschriftet mit WNX15E00/E04-E22;RC-K8
MAT01721379;Stecker komplett;gew. 17pol Bu inkl. Ko;RC-K2
MAT0172138;Einsatz, Buchse;10+PE, Käfigzugfeder;RC-K5
MAT01721380;Stecker komplett;ger. Kunststgeh. 17pol. Sti inkl. Ko;RC-K2
MAT01721381;CAT 6-Ethernet-Kabel, geschirmt, 4x2xAWG;ECOLAN blau halogenfrei PiMF Gigabit;RC-L1
MAT01721382;Einsatz, Buchse;HAN K4/4 (4/4+PE) 6-16mm² Schraub.;RC-K5
MAT01721383;Einsatz, Stift;HAN K4/4 (4/4+PE) 6-16mm² Schraub.;RC-K5
MAT01721384;E-Stecker;Gr.4-BG 70+2PE kompl. (Buchse) / AUDI Gy;RC-K3
MAT01721385;E-Stecker;Gr.4-SG 70+2PE kompl. (Stift) / AUDI Gyö;RC-K3
MAT01721386;E-Stecker;Gr.2-IS-BG-3+PE+4 kompl. (Buchse) / AUDI;RC-K3
MAT01721387;E-Stecker;Gr.2-IS-SG-3+PE+4 kompl. (Stift) / AUDI;RC-K3
MAT01721388;E-Stecker;Gr.1-IS-BG-18+PE kompl. (Buchse) / AUDI;RC-K3
MAT01721389;E-Stecker;Gr.1-IS-SG-18+PE kompl. (Stift) / AUDI G;RC-K3
MAT01721390;Gehäuse, Kupplung;Signal verz. vern.,mit Flansch 9,0-13,2m;RC-K3
MAT01721391;Gehäuse, Kupplung;1Bügel gerade M25 Gr.57.27;RC-K11
MAT01721392;Schlauchleitung;ArguflexP315,DN8,L=16021beids.M18x1,5 ge;RC-S1
MAT01721393;Schlauchleitung;ArguflexP315,DN8,L=16008,beids.M18x1,5 g;RC-S1
MAT01721394;Schlauchleitung;ArguflexP315,DN8,L=7320,beids.M18x1,5 ge;RC-S1
MAT01721395;Schlauchleitung;ArguflexP315,DN8,L=7440,ger. und gew. M1;RC-S1
MAT01721396;Schlauchleitung;ArguflexP315,DN8,L=15610,beids.M18x1,5 g;RC-S1
MAT01721397;Schlauchleitung;ArguflexP315,DN8,L=15640,beids.M18x1,5 0;RC-S1
MAT01721398;Schlauchleitung;ArguflexP315,DN8,L=15408 beids.M18x1,5 g;RC-S1
MAT01721399;Schlauchleitung;ArguflexP315,DN8,L=7100,ger. und gew. M1;RC-S1
MAT0172140;Einsatz, Stift;72+PE, 10A,  crimp;RC-K5
MAT01721400;Schlauchleitung;ArguflexP315,DN10,L=15670,beids.M18x1,5;RC-S1
MAT01721401;Schlauchleitung;ArguflexP315,DN10,L=15440,beids.M18x1,5;RC-S1
MAT01721402;Schlauchleitung;ArguflexP315,DN10,L=15670,beids.M18x1,5;RC-S1
MAT01721403;Schlauchleitung;ArguflexP315,DN10,L=15450,beids.M18x1,5;RC-S1
MAT01721404;Schlauchleitung;ArguflexP315,DN10,L=16085,beids.M18x1,5;RC-S1
MAT01721405;Schlauchleitung;ArguflexP315,DN10,L=16075,beids.M18x1,5;RC-S1
MAT01721406;Schlauchleitung;ArguflexP315,DN10,L=6780,beids.M18x1,5 g;RC-S1
MAT01721407;Schlauchleitung;ArguflexP315,DN10,L=7100,beids.M18x1,5 g;RC-S1
MAT01721408;Schlauchleitung;ArguflexP315,DN10,L=7100,beids.M18x1,5 g;RC-S1
MAT01721409;Schlauchleitung;ArguflexP315,DN10,L=6540,beids.M18x1,5 g;RC-S1
MAT01721410;Schlauchleitung;ArguflexP315,DN10,L=8011,beids.M18x1,5 g;RC-S1
MAT01721410-I01;Schlauchleitung;ArguflexP315,DN10,L=8011,beids.M18x1,5 g;RC-S1
MAT01721411;Schlauchleitung;ArguflexP315,DN10,L=7686,beids.M18x1,5 0;RC-S1
MAT01721412;Schlauchleitung;ArguflexP315,DN10,L=7761,beids.M18x1,5 0;RC-S1
MAT01721413;Schlauchleitung;ArguflexP315,DN10,L=7401,beids.M18x1,5 g;RC-S1
MAT01721414;Schlauchleitung;ArguflexP315,DN10,L=7311,beids.M18x1,5 g;RC-S1
MAT01721415;Schlauchleitung;ArguflexP315,DN10,L=7986,beids.M18x1,5 0;RC-S1
MAT01721415-I01;Schlauchleitung;ArguflexP315,DN10,L=7986,beids.M18x1,5;RC-S1
MAT01721416;Schlauchleitung;ArguflexP315,DN8,L=7568,beids.M18x1,5 ge;RC-S1
MAT01721417;Schlauchleitung;ArguflexP315,DN8,L=7621,beids.M18x1,5 ge;RC-S1
MAT01721418;Schlauchleitung;ArguflexP315,DN8,L=7679,beids.M18x1,5 ge;RC-S1
MAT01721419;Schlauchleitung;ArguflexP315,DN8,L=7834,5, beids.M18x1,5;RC-S1
MAT01721419-I01;Schlauchleitung;ArguflexP315,DN8,L=7909,5,beids.M18x1,5;RC-S1
MAT0172142;Gehäuse, Tülle;für 1 Bügel seitl., 1xM32;RC-K3
MAT01721420;Schlauchleitung;ArguflexP315,DN8,L=7919,5, beids.M18x1,5;RC-S1
MAT01721420-I01;Schlauchleitung;ArguflexP315,DN8,L=7994,5,beids.M18x1,5;RC-S1
MAT01721421;Schlauchleitung;ArguflexP315,DN8,L=6770,beids.M18x1,5 ge;RC-S1
MAT01721422;Schlauchleitung;ArguflexP315,DN8,L=6800,beids.M18x1,5 ge;RC-S1
MAT01721423;Schlauchleitung;ArguflexP315,DN10,L=7190,beids.M18x1,5 g;RC-S1
MAT01721424;Schlauchleitung;ArguflexP315,DN10,L=6900,beids.M18x1,5 g;RC-S1
MAT01721425;Verschraubung;ger. Einschraubverschraubung GE12LRED;RC-K7
MAT01721426;Überwurfmutter;M12LX;RC-A2
MAT01721427;Schneidring;ES-4 12L/12S;RC-A2
MAT01721428;Verschlussstopfen;VKA12LVIT;RC-A2
MAT01721429;Schlauchleitung;ArguflexP315,DN8,L=5888,beids.M18x1,5 05;RC-S1
MAT0172143;Gehäuse, Tülle;für 2 Bügel, 1xM40;RC-K3
MAT01721430;Schlauchleitung;ArguflexP315,DN8,L=5885,beids.M18x1,5 05;RC-S1
MAT01721431;Schlauchleitung;ArguflexP315,DN8,L=5403,beids.M18x1,5 05;RC-S1
MAT01721432;Schlauchleitung;ArguflexP315,DN8,L=5412,beids.M18x1,5 05;RC-S1
MAT01721433;Schlauchleitung;ArguflexP315,DN8,L=5400,beids.M18x1,5 05;RC-S1
MAT01721434;Schlauchleitung;ArguflexP315,DN8,L=5415,beids.M18x1,5 05;RC-S1
MAT01721435;Schlauchleitung;ArguflexP315,DN8,L=11180,beids.M18x1,5 0;RC-S1
MAT01721436;Schlauchleitung;ArguflexP315,DN8,L=10903,beids.M18x1,5 0;RC-S1
MAT01721437;Schlauchleitung;ArguflexP315,DN8,L=5502,beids.M18x1,5 05;RC-S1
MAT01721438;Schlauchleitung;ArguflexP315,DN8,L=11040,beids.M18x1,5 0;RC-S1
MAT01721439;Trommel;Sperrh.,800x200x531, 4Zwischenfl., 5x95,;RC-D5
MAT0172144;siehe MAT0179203;1-24, Käfigzugfeder;RC-K5
MAT01721440;Gehäuse, Tülle;Han 6B,EMV M32;RC-K3
MAT01721441;Crimpzange;Crimp Pneum. WA 23;RC-D1
MAT01721442;Werkzeug;Crimp Werkzeug 10² für Kontakte 3,6mm (W;RC-D1
MAT01721443;"Positioniereinsatz (Gravur ""037"")";für 1,5/10² (3,6mm Kontakte) (WA23);RC-D1
MAT01721444;Werkzeug;Crimp Werkzeug 16² für Kontakte 3,6mm (W;RC-D1
MAT01721445;"Positioniereinsatz (Gravur ""038"")";für 16² (3,6mm Kontakte) (WA23-2);RC-D1
MAT01721446;Stecker, Stift;M12 gerade 12Pol Stift 6-8mm;RC-K5
MAT01721447;Stahlbau;542.071.508_00 - C29;RC-B1
MAT01721448;Schlauchleitung;301SN-4x1900, eins. 1CA48-6-4, 2. Armatu;RC-S1
MAT01721449;T-Stück;T-Stück Metall QST-F-6;RC-A2
MAT0172145;Einsatz, Buchse;25-48, Käfigzugfeder;RC-K5
MAT01721450;Verschraubung, Steck, L;NPQH-L-Q6-E-P10 (alt: QSL-F-6);RC-A2
MAT01721451;Verschraubung, Steck, L;QSL-F-8, 90 Grad;RC-A2
MAT01721452;Steckhülse;Steckhülse Metall NPQH-D-S6-E-P10   (alt;RC-A2
MAT01721453;Steckhülse;Steckhülse Metall QSH-F-8;RC-A2
MAT01721454;Festverrohrung;Präzisionsstahlrohr 6 x 1 (nach EN10305-;RC-A2
MAT01721455;Gerader Schottstutzen;3/8 Zoll, Stahl, Push Lok Verbinder;RC-A2
MAT01721456;Gerader Schottstutzen;1/2 Zoll, Stahll, Push Lok Verbinder;RC-A2
MAT01721457;Schlauchleitung;DK0-DK0 HD-Schlauch 10x1380mm;RC-S1
MAT01721458;Schlauchleitung;DK0-DK0 HD-Schlauch 10x1430mm;RC-S1
MAT01721459;Schlauchleitung;DK0-DK0 HD-Schlauch 10x1550mm;RC-S1
MAT0172146;Gehäuse, Tülle;für 1 Bügel seitl., 1xM25;RC-K3
MAT01721460;Schlauchleitung;DK0-DK0 HD-Schlauch 10x1650mm;RC-S1
MAT01721461;Schlauchleitung;DK0-DK0 HD-Schlauch 10x1430mm;RC-S1
MAT01721462;Stecker;Gerätesteckverbinder mit Zugentlastung f;RC-K2
MAT01721463;Stecker;Gerätesteckverbinder mit Zugentlastung f;RC-K2
MAT01721464;Stecker;Gerätesteckverbinder mit Zugentlastung f;RC-K2
MAT01721465;Verschraubung HSK-M-EMV;PG29, 13 - 20, AG;RC-K7
MAT01721466;Kundenbeistellung;Leoni L Trailing (4x2x0,15)C;RC-L4
MAT01721467;Schildersatz, Version Serie HdH;DMF260-11 Serie 2835555, MAT90448796;RC-A3
MAT01721468;Trommel;Typ IV 2280x500x1855 / 3 var. Abteilkr T;RC-D5
MAT01721469;Schlauchleitung;301SN-10x1520, beids. 1CA48-18-10;RC-S1
MAT0172147;Einsatz, Stift;10+PE, Käfigzugfeder;RC-K5
MAT01721470;EtherCat-Leitung;Beckhoff ZK1090-6100-0120, 12m;RC-L1
MAT01721471;EtherCat-Leitung;Beckhoff ZK1090-6100-0125, 12,5m;RC-L1
MAT01721472;EtherCat-Leitung;Beckhoff ZK1090-6100-0150, 15m;RC-L1
MAT01721473;Schlauchleitung;SILIPRESS-R012,5x4-ROT-ME-8870mm - ERIKS;RC-S1
MAT01721474;Schlauch, Hydraulik;301SN-4;RC-S2
MAT01721475;Schlauchleitung;SILIPRESS-R012,5x4-ROT-ME-6750mm;RC-S1
MAT01721476;Dichtung;CM3 Connector, KABELDICHTUNG M3 9-10MM C;RC-K11
MAT01721477;Dichtung;CM3 Connector, KABELDICHTUNG M3 10-11MM;RC-K11
MAT01721478;Heidenhain-Leitung;Länge= 12m Deckel - ID2467636;RC-L1
MAT01721479;Kabeldose;8 polig Bajonettverschluß Polbild 12-8,;RC-K2
MAT0172148;Bolzen, Codier/Sperr;;RC-K5
MAT01721480;Kabeldose;10pol. Buchse, KPT06F12-10S, oliv;RC-K2
MAT01721481;Blech;Blech bearbeitet für Gehäuse HAN 10B, SU;RC-B3
MAT01721482;Abstandshülsen;Hülse 8mm lang, DI 2,98mm;RC-B3
MAT01721483;Senkkopfschraube;Senkschrauben DIN 7991 V2A, 3 x 14mm;RC-A5
MAT01721484;Gehäuse Tülle;HAN 3A-gg-M25, inkl. Verschraubung 6-12m;RC-K3
MAT01721485;Gehäuse, Stecker;EMV Flex für Kabel 5-10mm;RC-K3
MAT01721486;Adapterblech;NBV250;RC-B1
MAT01721487;Adapterblech;NBV250;RC-B1
MAT01721488;Adapterblech;NBV250;RC-B1
MAT01721489;Adapterblech;NBV250;RC-B1
MAT0172149;Stecker, Rundverbinder;Leistungseinbaudose , Stift , crimp , 6;RC-K2
MAT01721490;Adapterblech;NBV250;RC-B1
MAT01721491;Adapterblech;NBV250;RC-B1
MAT01721492;Gehäuse,KupplungSpeedTec;Leistung6pol,verz.vernickeltGr.1,5;RC-K3
MAT01721493;Transportkiste;5000x1300x349innen, TK500kg,HT, mit Deck;RC-D5
MAT01721494;EtherCat-Leitung;Beckhoff ZK1090-6100-0200, 20m;RC-L1
MAT01721495;Schlauchleitung;2SN-50-N0N0, 34.350P, L=34350mm (inkl. D;RC-S1
MAT01721496;Schlauchleitung;2SN-25-B5B5, 34.350P, L=34350mm (inkl. D;RC-S1
MAT01721497;Schlauchleitung;Armoflex DN76x33100mm DUO110/DUO110;RC-S1
MAT01721498;Schlauchleitung;Inducord 63x36310mm DUO110DU0110 bds. Lo;RC-S1
MAT01721499;Schlauchleitung;Inducord 63x35300mm DUO110DU0110 bds. Lo;RC-S1
MAT0172150;Stecker, Rundverbinder;Leistungseinbaudose , Stift , crimp , 8;RC-K2
MAT01721500;siehe MAT01723294;Inducord 63x34800mm DUO110DU0110 bds. Lo;RC-S1
MAT01721501;Kombinationsstecker Leistung+Signal;für SKF-Antrieb, Karl Pflumm GmbH;RC-K10
MAT01721502;Schüttware SC Kontakt LWL;SC-Kontakt für GL Kontakt;RC-K9
MAT01721503;Stecker, Rundverbinder;Hirose, 12pol., Buchse, ÜWM, gewinkelt (;RC-K2
MAT01721504;Schlauch, Vakuum;DN32,PN 8bar,AD40,transp;RC-S1
MAT01721505;Schlauch, Pneumatik;19x4, Transp,M-Tex,27x19 mm;RC-S3
MAT01721506;Einbaudose;Winkel drehbar 8 Pol Stift, Flansch 25,7;RC-K2
MAT01721507;RJ45-Steckverbinder;Siemens ,RJ45 4pol. Geschirmt, Schneid,;RC-K2
MAT01721508;Schlauch Pneumatik;Legris 6/4PU grau;RC-S3
MAT01721509;Schlauch Pneumatik;Legris 6/4PU grau;RC-S3
MAT0172151;Stecker, Rundverbinder;Signaleinbaudose , Stift , crimp , 12 po;RC-K2
MAT01721510;Zukaufleitungen;Kabel Super Highflex TYP A für DGD einba;RC-L1
MAT01721511;Gewebeschlauch;Schlauch mit Textileinlage12,5x19,0 blau;RC-S4
MAT01721512;Gewebeschlauch;Schlauch mit Textileinlage12,5x19,0 schw;RC-S4
MAT01721513;Armaturen;Schlauchtülle für G1/2;RC-A2
MAT01721514;Armaturen;Schlauchtülle für G1/2 VW Norm;RC-A2
MAT01721515;Schlauchleitung;2040H-4-BLK-3500-56-1D-8-56-1D-8;RC-S2
MAT01721516;Schlauchleitung;2040H-3-BLK-1200-PX-1D-6-PX-1D-6;RC-S2
MAT01721517;Schlauchleitung;2040H-3-BLK-600-PX-1D-6-PX-1D-6;RC-S2
MAT01721518;Schlauchleitung;2SC-10-A35-A05-1000P DN10 PN330  beid. 1;RC-S2
MAT01721519;Isolierkörper;Signal 19 polig, Buchse, löten;RC-K5
MAT0172152;Stecker, Rundverbinder;Signaleinbaudose , Stift , crimp , 12 po;RC-K2
MAT01721520;Verschraubung HSK-M;PG21 x 1,5, 9 - 16, AG;RC-K7
MAT01721521;Schlauch Hydraulik;PU-Rohr - blau 14 mm x 9,5 mm L = 25 m;RC-S2
MAT01721522;Gehäuse Tülle;HAN 10B EMV M32 gerade Tüllengehäuse;RC-K3
MAT01721523;Gewindestift;M6x6, A2, DIN913 mit I6KT und Kegelkuppe;RC-K11
MAT01721524;Einsatz, Buchse;10polig CSHF 10, Käfigzugfeder;RC-K5
MAT01721525;Einsatz, Stift;10polig CSHM 10, Käfigzugfeder;RC-K5
MAT01721526;Einsatz, Buchse;16polig CSHF 16, Käfigzugfeder;RC-K5
MAT01721527;Einsatz, Stift;16polig CSHM 16, Käfigzugfeder;RC-K5
MAT01721528;Schlauchleitung;Arguflex P315DN8 DKOL 08/10 L=9480mm 051;RC-S1
MAT01721529;Schlauchleitung;Arguflex P315DN8 DKOL 08/10 L=9400mm 051;RC-S1
MAT0172153;Stecker, Rundverbinder;Einbaudose , 26 pol , Stift , crimp;RC-K2
MAT01721530;Schlauchleitung;Arguflex P315DN8 DKOL 08/10 L=10050mm 05;RC-S1
MAT01721531;Schlauchleitung;Arguflex P315DN8 DKOL 08/10 L=9960mm 051;RC-S1
MAT01721532;Schlauchleitung;Arguflex P315DN8 DKOL 08/10 L=8130mm 051;RC-S1
MAT01721533;Schlauchleitung;Arguflex P315DN8 DKOL 08/10 L=8130mm 051;RC-S1
MAT01721534;Schlauchleitung;Arguflex P315DN8 DKOL 08/10 L=8130mm 051;RC-S1
MAT01721535;Schlauchleitung;Arguflex P315DN8DKOL/DN8 08/10 L=9450mm;RC-S1
MAT01721536;Schlauchleitung;Arguflex P315DN8DKOL/DN8 08/10 L=5110mm;RC-S1
MAT01721537;Schlauchleitung;Arguflex P315DN8DKOL/DN8 08/10 L=4980mm;RC-S1
MAT01721538;Schlauchleitung;Arguflex P315DN8DKOL/DN8 08/10 L=4985mm;RC-S1
MAT01721539;Schlauchleitung;Arguflex P315DN8DKOL/DN8 08/10 L=5550mm;RC-S1
MAT01721540;Schlauchleitung;Arguflex P315DN8DKOL/DN8 08/10 L=5670mm;RC-S1
MAT01721541;Schlauchleitung;QS Prüfung erforderlich,Arguflex P315DN8;RC-S1
MAT01721542;Schlauchleitung;Arguflex P315DN8DKOL/DN8 08/10 L=5700mm;RC-S1
MAT01721543;Schlauchleitung;Arguflex P315DN8DKOL/DN8 08/10 L=5060mm;RC-S1
